1	39
2	7
3	43
4	23
5	23
6	20
7	4
8	3
9	32
10	39
11	34
12	28
13	46
14	6
15	15
16	3
17	31
18	31
19	45
20	19
21	46
22	9
23	32
24	23
25	6
26	29
27	27
28	12
29	19
30	0
31	16
32	42
33	21
34	6
35	20
36	14
37	44
38	49
39	41
40	37
41	29
42	45
43	16
44	34
45	6
46	16
47	25
48	0
49	17
50	5
51	1
52	14
53	23
54	23
55	28
56	48
57	43
58	33
59	38
60	8
61	26
62	41
63	46
64	30
65	37
66	22
67	37
68	35
69	27
70	11
71	37
72	23
73	13
74	25
75	3
76	20
