1	22
2	26
3	45
4	35
5	20
6	34
7	50
8	45
9	59
10	66
11	65
12	51
13	35
14	57
15	24
16	36
17	44
18	56
19	48
20	14
21	13
22	13
23	28
24	43
25	64
26	46
27	34
28	16
29	26
30	26
31	76
32	53
33	29
34	40
35	50
36	10
37	15
38	66
39	60
40	50
41	17
42	14
43	19
44	48
45	30
46	42
47	15
48	21
49	38
50	56
51	39
52	38
53	57
54	41
55	70
56	25
57	27
58	60
59	64
60	4
61	6
62	20
63	30
64	5
65	70
66	72
67	42
68	33
69	4
70	8
71	5
72	60
73	24
74	20
75	37
76	40
