1	22
2	36
3	21
4	45
5	55
6	33
7	50
8	55
9	26
10	40
11	55
12	35
13	62
14	62
15	62
16	21
17	33
18	9
19	62
20	66
21	44
22	26
23	11
24	7
25	17
26	41
27	55
28	35
29	52
30	43
31	31
32	22
33	26
34	50
35	55
36	54
37	60
38	47
39	30
40	30
41	12
42	15
43	16
44	21
45	50
46	51
47	50
48	48
49	12
50	15
51	29
52	54
53	55
54	67
55	10
56	6
57	65
58	40
59	70
60	64
61	36
62	30
63	20
64	15
65	50
66	57
67	45
68	38
69	50
70	66
71	59
72	35
73	27
74	40
75	40
76	40
